[0.00 - 5.74]  Applause
[5.74 - 8.72]  Now
[8.72 - 14.58]  Då
[14.58 - 14.78] 37
[14.78 - 18.96]  ondan
[18.96 - 24.74]  ─
[24.74 - 27.50] nan
[27.50 - 29.24]  w
[29.24 - 34.24]  I'm a lucky star to be living here today
[34.24 - 37.24]  Because our flag still stands for freedom
[37.24 - 44.24]  And they can't take that away
[44.24 - 47.24]  And I'm proud to be an American
[47.24 - 51.24]  Where at least I know I'm free
[51.24 - 54.24]  And I won't forget the men who died
[54.24 - 57.24]  And gave that right to me
[57.24 - 61.24]  And I finally stand up next to you
[61.24 - 64.24]  And if in her still today
[64.24 - 68.24]  Because there ain't no doubt I love this land
[68.24 - 75.24]  Sing it, God bless for you and say
[85.24 - 88.24]  From the lakes in Minnesota
[88.24 - 92.24]  To the hills of Tennessee
[92.24 - 95.24]  Across the plains of Texas
[95.24 - 98.24]  From sea to shine and sea
[98.24 - 102.24]  And Detroit to Houston
[102.24 - 105.24]  And New York to LA
[105.24 - 109.24]  There's pride in every American heart
[109.24 - 115.24]  And it's time to stand and say
[115.24 - 119.24]  But I'm proud to be an American
[119.24 - 122.24]  Where at least I know I'm free
[122.24 - 126.24]  And I won't forget the men who died
[126.24 - 128.24]  And gave that right to me
[128.24 - 133.24]  And I gladly stand up next to you
[133.24 - 136.24]  And if in her still today
[136.24 - 139.24]  Because our flag still stands for freedom
[139.24 - 142.24]  And I'm proud to be an American
[142.24 - 145.24]  Where at least I know I'm free
[145.24 - 149.24]  And I won't forget the men who died
[149.24 - 151.24]  And gave that right to me
[151.24 - 154.24]  And I'm proud to be an American
[154.24 - 158.24]  Where at least I know I'm free
[158.24 - 162.24]  And I won't forget the men who died
[162.24 - 165.24]  And gave that right to me
[165.24 - 170.24]  And I gladly stand up next to you
[170.24 - 174.24]  And if in her still today
[174.24 - 179.24]  But her flag still stands for freedom
[179.24 - 184.24]  And I won't forget the men who died
[184.24 - 191.24]  And gave that right to me
[195.24 - 201.24]  And I won't forget the men who died
[201.24 - 205.24]  And gave that right to me
[205.24 - 210.24]  And I won't forget the men who died
[210.24 - 214.24]  And gave that right to me
[214.24 - 219.24]  And I won't forget the men who died
[219.24 - 224.24]  And gave that right to me
[224.24 - 229.24]  And I won't forget the men who died
[229.24 - 233.24]  And gave that right to me
[233.24 - 237.24]  Thank you very much
[237.24 - 240.24]  Thank you very very much
[240.24 - 242.24]  Wow
[242.24 - 246.24]  And thank you Dana
[246.24 - 247.58]  comrades respect Mrs Premzya
[247.58 - 251.22]  burdens you referred to as bomb
[251.22 - 253.24]  And thank you Llee
[253.24 - 254.40]  Hurnt from the beginning
